station,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
Севастополь,Республика Крым,6.2,6.2,6.8,7.7,8.3,8.2,8.1,8.6,8.5,7.7,6.5,5.8
Симферополь,Республика Крым,7,7.8,9.3,11.2,11.7,11.7,11.7,12.2,11.3,9.9,7.8,6.6
Феодосия,Республика Крым,5.8,6,6.6,7.3,8,8.4,8.7,8.6,8.3,7.4,6.2,5.6
Ялта,Республика Крым,5.3,5.5,6.1,6.9,7.3,7.6,7.9,7.8,7.6,7,5.9,5.3
Курган,Курганская область,8.6,9.8,10.1,10.9,13,12.9,11.9,11.9,11.1,8.4,7.3,8.2
Курск,Курская область,5.7,6.2,6.4,8.7,10.5,10.3,10.2,10.3,9.3,7.1,4.8,5
Выборг,Ленинградская область,5.9,6.7,7.6,7.6,8.8,8.3,8,7.6,6.4,4.8,3.9,5
Новая Ладога,Ленинградская область,5.9,6.6,7.4,8,9.1,8.8,8.4,8,7,5,4,5.1
Санкт-Петербург,Ленинградская область,5.5,6,6.9,7.7,9,8.6,8.1,7.5,6.6,4.8,3.9,4.7
Тихвин,Ленинградская область,6.9,7.9,9.6,10.1,12.4,12,11.7,10.9,9,6,4.6,5.7
Липецк,Липецкая область,6.4,7.1,7.2,9.9,11.8,11.6,11.4,11.6,10.3,7.7,5.4,5.6
Брохово,Магаданская область,7.4,8,9.4,9.2,6,7.1,6.6,6.2,5.8,5.3,6.2,6.8
Магадан,Магаданская область,4.8,5.6,6.8,6.2,5.9,6.2,5.6,5.6,5.7,5.4,4.9,4.6
Омсукчан,Магаданская область,8.1,10,14.2,13.8,9.8,12.8,12.8,11.9,9.8,9.5,9.2,8.2
Палатка,Магаданская область,9.4,11.5,13.2,12.2,11.7,14.3,13.2,12.5,11.4,10.8,10.4,9
Среднекан,Магаданская область,5.9,7.7,12.3,13.7,11.2,14.3,13.7,12.8,10.6,8.7,6.9,5.9
Сусуман,Магаданская область,8.5,10.9,15.6,15.7,12.3,14.8,14.7,14.2,11.9,11.1,9,7.9
Йошкар-Ола,Республика Марий Эл,7.3,8.6,9.1,9.8,12.3,12.3,11.8,11.5,9.6,6.5,5.2,6.4
Саранск,Республика Мордовия,6.5,7.2,7.2,9.3,12.1,11.8,11.4,11.6,10,6.9,5.1,5.9
Дмитров,Московская область,5.8,6.5,7.3,9,10.6,10.2,10.1,9.6,8.1,6,4.4,5
Кашира,Московская область,5.8,6.4,6.7,8.4,10.3,9.9,9.7,9.7,8.3,6.4,4.5,5.1
