station,subject,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,year
Санкт-Петербург,Ленинградская область,3.7,3.6,4.5,6,8.5,12,15.1,14.4,11.1,7.9,5.7,4.4,8.1
Тихвин,Ленинградская область,3.2,3.3,4.1,5.7,8.4,12,14.8,13.8,10.5,7.4,5.2,3.9,7.7
Липецк,Липецкая область,3.2,3.2,4.4,6.7,9.6,13.2,15.2,13.7,10.4,7.5,5.4,3.9,8.1
Брохово,Магаданская область,1.4,1.4,1.9,3.1,5.3,8.3,12.1,12.1,8.8,5.1,2.6,1.7,5.3
Магадан,Магаданская область,1.3,1.3,1.8,3.2,5.3,8.5,11.7,11.6,8.1,4.1,2.1,1.4,5
Омсукчан,Магаданская область,0.4,0.5,0.9,1.9,4.4,7.6,10.2,9.1,5.8,2.5,0.8,0.5,3.7
Палатка,Магаданская область,0.9,1,1.4,2.6,4.9,8.4,11.5,10.6,6.7,3.3,1.6,1.1,4.5
Среднекан,Магаданская область,0.3,0.4,0.8,2.2,4.9,9.1,12,10.5,6.4,2.6,0.7,0.3,4.2
Сусуман,Магаданская область,0.3,0.4,0.7,2,4.6,8.2,10.7,9.1,5.5,2.1,0.6,0.3,3.7
Йошкар-Ола,Республика Марий Эл,2.5,2.5,3.7,6.2,9,13.1,15.6,14,10.3,6.8,4.5,3.1,7.6
Саранск,Республика Мордовия,2.7,2.7,3.7,6.4,9.2,13,15.1,13.7,10.1,7,4.7,3.3,7.7
